Country,Code,Year,Life Satisfaction,GDP per capita,Employment Rate (%)
Chile,CHL,2020,6.172,26248.562,55.84916
Chile,CHL,2021,6.172,29089.85,58.47194
Chile,CHL,2022,6.334,29569.479,61.93064
Chile,CHL,2023,6.36,29563.678,62.87913
Chile,CHL,2024,6.361,30182.787,64.13909
Colombia,COL,2011,6.202,14852.37,64.82417
Colombia,COL,2012,6.416,15279.479,66.015
Colombia,COL,2014,6.477,16480.363,66.71
Colombia,COL,2015,6.481,16821.38,67.385
Colombia,COL,2016,6.357,17003.244,67.0325
Colombia,COL,2017,6.26,16986.033,66.93333
Colombia,COL,2018,6.125,17104.13,66.45084
Colombia,COL,2019,6.1634,17336.771,65.36667
Colombia,COL,2020,6.012,15861.5,57.83167
Colombia,COL,2021,5.781,17383.09,57.84833
Colombia,COL,2022,5.63,18458.72,61.59167
Colombia,COL,2023,5.695,18382.998,62.97167
Colombia,COL,2024,6.004,18477.215,62.8525
Costa Rica,CRI,2011,7.251,19254.914,58.08942
Costa Rica,CRI,2012,7.257,19960.793,61.81253
Costa Rica,CRI,2014,7.226,20724.922,61.74079
Costa Rica,CRI,2015,7.087,21254.783,60.69011
Costa Rica,CRI,2016,7.079,21925.6,58.71328
Costa Rica,CRI,2017,7.072,22622.553,59.7869
Costa Rica,CRI,2018,7.167,23005.312,60.95155
Costa Rica,CRI,2019,7.1214,23364.783,61.64743
Costa Rica,CRI,2020,7.069,22211.861,54.83073
Costa Rica,CRI,2021,6.582,23852.926,57.15372
Costa Rica,CRI,2022,6.609,24831.719,60.05968
Costa Rica,CRI,2023,6.955,25979.629,58.64424
Costa Rica,CRI,2024,7.274,26973.436,61.00788
Czechia,CZE,2011,6.36,39708.164,65.725
Czechia,CZE,2012,6.29,39347.05,66.55
Czechia,CZE,2014,6.505,40158.016,68.975
Czechia,CZE,2015,6.596,42066.574,70.225
Czechia,CZE,2016,6.609,43069.465,71.95
Czechia,CZE,2017,6.711,45177.523,73.625
Czechia,CZE,2018,6.852,46301.082,74.825
Czechia,CZE,2019,6.9109,47763.617,75.125
Czechia,CZE,2020,6.965,45119.938,74.4
Czechia,CZE,2021,6.92,47796.035,74.4
Czechia,CZE,2022,6.845,48390.66,75.475
Czechia,CZE,2023,6.822,47558.41,75.1
Czechia,CZE,2024,6.775,47963.9,75.425
Germany,DEU,2011,6.572,57858.42,71.775
Germany,DEU,2012,6.672,58017.586,72.05
Germany,DEU,2014,6.75,59108.7,72.85
Germany,DEU,2015,6.994,59573.707,73.05
Germany,DEU,2016,6.951,60407.973,73.75
Germany,DEU,2017,6.965,61866.49,74.4
Germany,DEU,2018,6.985,62381.348,75.075
Germany,DEU,2019,7.0758,62849.375,75.825
Germany,DEU,2020,7.155,60203.29,76.15579
Germany,DEU,2021,7.034,62530.766,75.825
Germany,DEU,2022,6.892,63676.086,76.95
Germany,DEU,2023,6.719,63039.37,77.275
Germany,DEU,2024,6.753,62554.555,77.45
Denmark,DNK,2011,7.856,60729.055,71.625
Denmark,DNK,2012,7.693,60497.69,71.025
Denmark,DNK,2014,7.527,61552.8,71.1
Denmark,DNK,2015,7.526,62405.715,71.975
Denmark,DNK,2016,7.522,63823.45,72.675
Denmark,DNK,2017,7.555,65352.4,73.225
Denmark,DNK,2018,7.6,66238.7,74.125
Denmark,DNK,2019,7.6456,67131.47,75.0
Denmark,DNK,2020,7.62,65744.44,74.425
Denmark,DNK,2021,7.636,69715.18,75.475
Denmark,DNK,2022,7.586,69475.32,76.775
Denmark,DNK,2023,7.583,69379.22,76.575
Denmark,DNK,2024,7.521,71431.29,77.225
Spain,ESP,2011,6.761,42271.836,58.025
Spain,ESP,2012,6.322,41034.047,55.75
Spain,ESP,2014,6.329,41339.41,56.0
Spain,ESP,2015,6.361,43053.76,57.8
Spain,ESP,2016,6.403,44274.668,59.55
Spain,ESP,2017,6.31,45446.25,61.1
Spain,ESP,2018,6.354,46325.21,62.4
Spain,ESP,2019,6.4009,46896.418,63.3
Spain,ESP,2020,6.491,41553.45,60.95
Spain,ESP,2021,6.476,44251.664,62.625
Spain,ESP,2022,6.436,46733.48,64.275
Spain,ESP,2023,6.421,47322.594,65.35
Spain,ESP,2024,6.466,48460.293,66.1
Estonia,EST,2011,5.33,32456.121,65.7
Estonia,EST,2012,5.426,33768.574,67.975
Estonia,EST,2014,5.429,35723.625,70.225
Estonia,EST,2015,5.517,36356.44,72.075
Estonia,EST,2016,5.611,37470.043,72.4
Estonia,EST,2017,5.739,39533.465,74.5
Estonia,EST,2018,5.893,40853.65,75.05
Estonia,EST,2019,6.0218,42218.96,75.55
Estonia,EST,2020,6.189,40920.527,73.975
Estonia,EST,2021,6.341,44251.54,74.0
Estonia,EST,2022,6.455,43128.633,76.425
Estonia,EST,2023,6.448,41288.617,76.225
Estonia,EST,2024,6.417,41189.668,75.725
Finland,FIN,2011,7.579,55053.39,68.0
Finland,FIN,2012,7.389,53957.668,68.45
Finland,FIN,2014,7.406,52710.734,67.95
Finland,FIN,2015,7.413,52782.49,67.55
Finland,FIN,2016,7.469,53984.633,68.225
Finland,FIN,2017,7.632,55637.227,69.075
Finland,FIN,2018,7.769,56226.336,71.15
Finland,FIN,2019,7.8087,56922.49,72.0
Finland,FIN,2020,7.842,55424.86,71.175
Finland,FIN,2021,7.821,56790.375,72.65
Finland,FIN,2022,7.804,57068.305,74.3
Finland,FIN,2023,7.741,56250.88,74.025
Finland,FIN,2024,7.736,56123.15,72.575
France,FRA,2011,6.746,50085.684,64.3
France,FRA,2012,6.764,49935.625,64.375
France,FRA,2014,6.575,50326.566,64.525
France,FRA,2015,6.478,50682.895,64.7
France,FRA,2016,6.442,50984.074,65.0
France,FRA,2017,6.489,51895.566,65.55
France,FRA,2018,6.592,52560.953,66.15
France,FRA,2019,6.6638,53448.555,66.375
France,FRA,2020,6.69,49311.332,66.1
France,FRA,2021,6.687,52517.336,67.25
France,FRA,2022,6.661,53673.812,68.125
France,FRA,2023,6.609,54296.723,68.45
France,FRA,2024,6.593,54799.348,68.95
United Kingdom,GBR,2011,6.936,46949.02,70.325
United Kingdom,GBR,2012,6.883,47328.21,70.975
United Kingdom,GBR,2014,6.867,48964.285,72.875
United Kingdom,GBR,2015,6.725,49652.72,73.675
United Kingdom,GBR,2016,6.714,50346.86,74.375
United Kingdom,GBR,2017,6.814,51586.676,75.0
United Kingdom,GBR,2018,7.054,52131.695,75.625
United Kingdom,GBR,2019,7.1645,52515.684,76.1
United Kingdom,GBR,2020,7.064,47158.984,75.075
United Kingdom,GBR,2021,6.943,51004.426,74.8
United Kingdom,GBR,2022,6.796,53139.152,75.075
United Kingdom,GBR,2023,6.749,52592.684,75.05
United Kingdom,GBR,2024,6.728,52621.18,74.75
Greece,GRC,2011,6.133,33906.492,54.85
Greece,GRC,2012,5.435,31250.227,50.425
Greece,GRC,2014,4.857,31213.377,49.225
Greece,GRC,2015,5.033,31347.977,50.7
Greece,GRC,2016,5.227,31468.62,51.775
Greece,GRC,2017,5.358,31995.41,53.225
Greece,GRC,2018,5.287,32722.33,54.525
Greece,GRC,2019,5.515,33502.75,56.125
Greece,GRC,2020,5.723,30487.113,53.675
Greece,GRC,2021,5.948,33531.156,57.25
Greece,GRC,2022,5.931,35831.344,60.725
Greece,GRC,2023,5.934,36700.51,61.8
Greece,GRC,2024,5.776,37474.28,63.275
Croatia,HRV,2011,5.623,28769.33,55.2
Croatia,HRV,2012,5.661,28259.346,53.45
Croatia,HRV,2014,5.759,28456.736,54.525
Croatia,HRV,2015,5.488,29466.7,55.95
Croatia,HRV,2016,5.293,30821.164,56.9
Croatia,HRV,2017,5.321,32348.934,58.825
Croatia,HRV,2018,5.432,33729.906,60.525
Croatia,HRV,2019,5.5047,35122.85,61.975
Croatia,HRV,2020,5.882,32493.312,62.175
Croatia,HRV,2021,6.125,36930.285,63.875
Croatia,HRV,2022,6.125,39864.01,65.25
Croatia,HRV,2023,5.942,41320.203,65.725
Croatia,HRV,2024,5.87,42829.2,68.25
Hungary,HUN,2011,4.943,28415.117,55.425
Hungary,HUN,2012,4.775,28179.656,56.675
Hungary,HUN,2014,4.8,30264.95,61.775
Hungary,HUN,2015,5.145,31485.568,63.95
Hungary,HUN,2016,5.324,32378.967,66.525
Hungary,HUN,2017,5.62,33828.715,68.175
Hungary,HUN,2018,5.758,35798.043,69.45
Hungary,HUN,2019,6.0004,37662.676,70.3
Hungary,HUN,2020,5.992,36119.52,69.9
Hungary,HUN,2021,6.086,38887.19,73.25
Hungary,HUN,2022,6.041,40610.973,74.5
Hungary,HUN,2023,6.017,40333.254,74.925
Hungary,HUN,2024,5.915,40686.934,75.1
Ireland,IRL,2011,7.284,59899.918,60.025
Ireland,IRL,2012,7.076,59405.047,59.9
Ireland,IRL,2014,6.94,65575.805,63.125
Ireland,IRL,2015,6.907,80954.664,64.7
Ireland,IRL,2016,6.977,80899.02,66.425
Ireland,IRL,2017,6.977,87882.71,67.575
Ireland,IRL,2018,7.021,93276.016,68.475
Ireland,IRL,2019,7.0937,96371.29,69.45
Ireland,IRL,2020,7.085,101968.555,66.55
Ireland,IRL,2021,7.041,116903.61,69.825
Ireland,IRL,2022,6.911,123219.08,73.275
Ireland,IRL,2023,6.838,117862.125,74.025
Ireland,IRL,2024,6.889,119037.734,74.45
Iceland,ISL,2011,6.888,56813.742,78.475
Iceland,ISL,2012,7.355,57173.043,79.675
Iceland,ISL,2014,7.561,59133.27,82.95
Iceland,ISL,2015,7.501,60725.727,84.725
Iceland,ISL,2016,7.504,63612.555,86.525
Iceland,ISL,2017,7.495,64303.38,86.1
Iceland,ISL,2018,7.494,65521.93,85.075
Iceland,ISL,2019,7.5045,64826.434,84.1
Iceland,ISL,2020,7.554,59543.812,80.3
Iceland,ISL,2021,7.557,61610.215,79.75
Iceland,ISL,2022,7.53,65380.316,83.275
Iceland,ISL,2023,7.525,68118.4,83.725
Iceland,ISL,2024,7.515,67310.055,85.325
Israel,ISR,2011,7.199,39075.375,60.87873
Israel,ISR,2012,7.301,39299.35,66.5
Israel,ISR,2014,7.278,40872.582,67.86667
Israel,ISR,2015,7.267,40967.37,68.31667
Israel,ISR,2016,7.213,41963.676,68.575
Israel,ISR,2017,7.19,42947.06,69.025
Israel,ISR,2018,7.139,43814.297,69.03333
Israel,ISR,2019,7.1286,44580.81,68.94167
Israel,ISR,2020,7.157,42915.94,66.78333
Israel,ISR,2021,7.364,46162.082,66.6
Israel,ISR,2022,7.473,48098.188,69.19167
Israel,ISR,2023,7.341,47527.152,69.775
Israel,ISR,2024,7.234,47338.844,69.25
Italy,ITA,2011,6.578,49473.016,56.35
Italy,ITA,2012,6.021,47795.957,56.075
Italy,ITA,2014,5.948,46825.652,55.275
Italy,ITA,2015,5.977,47311.824,56.025
Italy,ITA,2016,5.964,47987.84,57.05
Italy,ITA,2017,6.0,48849.22,57.875
Italy,ITA,2018,6.223,49133.145,58.5
Italy,ITA,2019,6.3874,49690.63,59.05
Italy,ITA,2020,6.483,45505.07,57.45
Italy,ITA,2021,6.467,49825.395,58.25
Italy,ITA,2022,6.405,52333.33,60.15
Italy,ITA,2023,6.324,52870.324,61.475
Italy,ITA,2024,6.415,53265.004,62.2
Japan,JPN,2011,6.059,40967.344,70.81879
Japan,JPN,2012,6.064,41596.92,70.61563
Japan,JPN,2014,5.987,42674.7,72.76458
Japan,JPN,2015,5.921,43386.71,73.39706
Japan,JPN,2016,5.92,43736.13,74.46338
Japan,JPN,2017,5.915,44505.277,75.36579
Japan,JPN,2018,5.886,44848.49,76.94645
Japan,JPN,2019,5.8708,44730.91,77.81501
Japan,JPN,2020,5.94,42992.48,77.45217
Japan,JPN,2021,6.039,44355.348,77.88137
Japan,JPN,2022,6.129,44972.344,78.45472
Japan,JPN,2023,6.06,45858.66,78.94055
Japan,JPN,2024,6.147,46106.92,79.43888
South Korea,KOR,2011,5.643,40719.227,63.91484
South Korea,KOR,2012,6.267,41537.67,64.34369
South Korea,KOR,2014,5.984,43806.926,65.56622
South Korea,KOR,2015,5.835,44849.105,65.90981
South Korea,KOR,2016,5.838,46088.242,66.07566
South Korea,KOR,2017,5.875,47536.79,66.62926
South Korea,KOR,2018,5.895,48834.445,66.61324
South Korea,KOR,2019,5.8724,49790.867,66.82268
South Korea,KOR,2020,5.845,49374.094,65.86022
South Korea,KOR,2021,5.935,51718.25,66.52686
South Korea,KOR,2022,5.951,53228.605,68.51241
South Korea,KOR,2023,6.058,54029.344,69.22884
South Korea,KOR,2024,6.038,55070.938,69.5437
Lithuania,LTU,2011,5.588,29240.748,60.2
Lithuania,LTU,2012,5.426,30920.33,62.025
Lithuania,LTU,2014,5.833,33975.086,65.65
Lithuania,LTU,2015,5.813,35251.297,67.25
Lithuania,LTU,2016,5.902,36618.15,69.375
Lithuania,LTU,2017,5.952,38774.49,70.375
Lithuania,LTU,2018,6.149,41019.79,72.4
Lithuania,LTU,2019,6.2155,43062.324,72.975
Lithuania,LTU,2020,6.255,43091.797,71.625
Lithuania,LTU,2021,6.446,45873.527,72.425
Lithuania,LTU,2022,6.763,46651.215,73.75
Lithuania,LTU,2023,6.818,46159.707,73.125
Lithuania,LTU,2024,6.829,47165.367,73.625
Luxembourg,LUX,2011,7.051,129885.37,64.625
Luxembourg,LUX,2012,7.054,128895.41,65.85
Luxembourg,LUX,2014,6.946,130247.664,66.625
Luxembourg,LUX,2015,6.871,130097.26,66.15
Luxembourg,LUX,2016,6.863,133661.66,65.575
Luxembourg,LUX,2017,6.91,132169.83,66.275
Luxembourg,LUX,2018,7.09,131733.89,67.1
Luxembourg,LUX,2019,7.2375,132724.75,67.95
Luxembourg,LUX,2020,7.324,129865.63,67.25
Luxembourg,LUX,2021,7.404,136772.44,69.375
Luxembourg,LUX,2022,7.228,132570.83,70.125
Luxembourg,LUX,2023,7.122,130048.92,70.275
Luxembourg,LUX,2024,7.122,128475.28,69.675
Latvia,LVA,2011,4.762,25308.732,60.575
Latvia,LVA,2012,5.046,27496.545,62.775
Latvia,LVA,2014,5.098,29243.742,66.125
Latvia,LVA,2015,5.56,30599.613,68.05
Latvia,LVA,2016,5.85,31668.516,68.575
Latvia,LVA,2017,5.933,33036.39,69.975
Latvia,LVA,2018,5.94,34729.707,71.725
Latvia,LVA,2019,5.95,35208.195,72.225
Latvia,LVA,2020,6.032,34225.9,71.45
Latvia,LVA,2021,6.18,36912.01,69.85
Latvia,LVA,2022,6.213,37718.71,71.325
Latvia,LVA,2023,6.234,37277.723,71.45
Latvia,LVA,2024,6.207,37611.67,71.175
Mexico,MEX,2011,6.74,20457.6,60.02428
Mexico,MEX,2012,7.088,20898.936,60.90891
Mexico,MEX,2014,7.187,21069.766,60.40805
Mexico,MEX,2015,6.778,21408.928,60.74515
Mexico,MEX,2016,6.578,21578.264,61.04717
Mexico,MEX,2017,6.488,21777.523,61.19406
Mexico,MEX,2018,6.595,21997.773,61.59449
Mexico,MEX,2019,6.465,21704.186,62.26349
Mexico,MEX,2021,6.128,20782.588,61.03192
Mexico,MEX,2022,6.33,21391.857,62.53553
Mexico,MEX,2023,6.678,21917.248,63.70166
Mexico,MEX,2024,6.979,22039.629,63.87155
Netherlands,NLD,2011,7.512,62318.14,75.7
Netherlands,NLD,2012,7.512,61480.812,75.9
Netherlands,NLD,2014,7.378,62045.855,74.65
Netherlands,NLD,2015,7.339,63081.395,75.65
Netherlands,NLD,2016,7.377,64267.74,76.375
Netherlands,NLD,2017,7.441,65666.0,77.375
Netherlands,NLD,2018,7.488,66758.266,78.7
Netherlands,NLD,2019,7.4489,67847.85,79.7
Netherlands,NLD,2020,7.464,64862.19,79.3
Netherlands,NLD,2021,7.415,68573.56,80.15
Netherlands,NLD,2022,7.403,71324.04,81.775
Netherlands,NLD,2023,7.319,70198.93,82.425
Netherlands,NLD,2024,7.306,70498.88,82.325
Norway,NOR,2011,7.524,83092.44,76.175
Norway,NOR,2012,7.655,84237.15,76.35
Norway,NOR,2014,7.522,84830.26,75.775
Norway,NOR,2015,7.498,85550.3,75.4
Norway,NOR,2016,7.537,85787.62,75.1
Norway,NOR,2017,7.594,87194.11,74.925
Norway,NOR,2018,7.554,87338.47,75.7
Norway,NOR,2019,7.488,87725.73,76.175
Norway,NOR,2020,7.392,86096.055,75.625
Norway,NOR,2021,7.365,88984.14,76.3
Norway,NOR,2022,7.315,91051.086,77.725
Norway,NOR,2023,7.302,90085.44,77.4
Norway,NOR,2024,7.262,91105.25,77.075
New Zealand,NZL,2011,7.372,41814.887,72.40391
New Zealand,NZL,2012,7.221,42570.332,71.85777
New Zealand,NZL,2014,7.286,44255.504,74.17313
New Zealand,NZL,2015,7.334,44963.832,74.24967
New Zealand,NZL,2016,7.314,45626.684,75.57751
New Zealand,NZL,2017,7.324,46193.29,76.91602
New Zealand,NZL,2018,7.307,46947.938,77.49399
New Zealand,NZL,2019,7.2996,47362.32,77.45027
New Zealand,NZL,2020,7.277,46266.395,76.75866
New Zealand,NZL,2021,7.2,48248.72,78.27825
New Zealand,NZL,2022,7.123,49964.176,79.58669
New Zealand,NZL,2023,7.029,49508.27,79.96558
New Zealand,NZL,2024,6.952,49316.4,78.45813
Poland,POL,2011,5.803,28521.662,57.45
Poland,POL,2012,5.822,28952.916,58.0
Poland,POL,2014,5.791,30334.879,60.2
Poland,POL,2015,5.835,31700.37,61.6
Poland,POL,2016,5.973,32675.305,63.45
Poland,POL,2017,6.123,34354.598,65.25
Poland,POL,2018,6.182,36500.41,66.675
Poland,POL,2019,6.1863,38181.62,67.825
Poland,POL,2020,6.166,37852.8,68.0
Poland,POL,2021,6.123,41059.586,70.425
Poland,POL,2022,6.26,43405.023,71.475
Poland,POL,2023,6.442,43672.766,72.375
Poland,POL,2024,6.673,45153.043,72.525
Portugal,PRT,2011,5.327,36127.297,61.825
Portugal,PRT,2012,5.101,34804.633,59.325
Portugal,PRT,2014,5.102,35097.41,61.175
Portugal,PRT,2015,5.123,35803.36,62.75
Portugal,PRT,2016,5.195,36636.297,64.225
Portugal,PRT,2017,5.41,37943.113,66.95
Portugal,PRT,2018,5.693,39123.613,68.975
Portugal,PRT,2019,5.9109,40188.285,69.75
Portugal,PRT,2020,5.929,36852.23,68.325
Portugal,PRT,2021,6.016,38657.668,69.625
Portugal,PRT,2022,5.968,41070.86,71.325
Portugal,PRT,2023,6.03,41768.254,72.375
Portugal,PRT,2024,6.013,42197.203,72.8
Romania,ROU,2011,5.178,26150.855,51.825
Romania,ROU,2012,5.033,26767.566,52.55
Romania,ROU,2014,5.124,28156.248,53.675
Romania,ROU,2015,5.528,29182.0,54.85
Romania,ROU,2016,5.825,30189.273,55.8
Romania,ROU,2017,5.945,32852.773,58.025
Romania,ROU,2018,6.07,34829.04,59.025
Romania,ROU,2019,6.1237,36399.625,60.225
Romania,ROU,2020,6.14,35283.754,60.2
Romania,ROU,2021,6.477,37534.156,61.9
Romania,ROU,2022,6.589,39256.99,63.025
Romania,ROU,2023,6.491,40116.855,63.05
Romania,ROU,2024,6.563,40504.0,63.725
Russia,RUS,2011,5.284,34444.645,68.01862
Russia,RUS,2012,5.464,35740.7,68.96736
Russia,RUS,2014,5.716,35853.246,69.33393
Russia,RUS,2015,5.856,35037.152,69.29679
Russia,RUS,2016,5.963,35005.45,70.00275
Russia,RUS,2017,5.81,35570.39,70.30539
Russia,RUS,2018,5.648,36536.695,70.97634
Russia,RUS,2019,5.546,37319.32,70.78918
Russia,RUS,2020,5.477,36376.336,69.99245
Russia,RUS,2021,5.459,38638.43,71.68963
Slovakia,SVK,2011,5.657,30481.377,61.0
Slovakia,SVK,2012,5.969,30907.04,61.375
Slovakia,SVK,2014,5.995,31901.943,62.7
Slovakia,SVK,2015,6.078,33521.594,64.525
Slovakia,SVK,2016,6.098,34130.504,66.7
Slovakia,SVK,2017,6.173,35057.223,68.075
Slovakia,SVK,2018,6.198,36430.793,69.55
Slovakia,SVK,2019,6.2806,37209.535,70.425
Slovakia,SVK,2020,6.331,36216.4,69.475
Slovakia,SVK,2021,6.391,38346.094,69.45
Slovakia,SVK,2022,6.469,38664.906,71.35
Slovakia,SVK,2023,6.257,39518.223,71.975
Slovakia,SVK,2024,6.221,40319.055,72.425
Slovenia,SVN,2011,5.922,38226.125,63.825
Slovenia,SVN,2012,6.06,37033.766,63.575
Slovenia,SVN,2014,5.848,37655.2,63.4
Slovenia,SVN,2015,5.768,38527.42,64.65
Slovenia,SVN,2016,5.758,39667.457,65.325
Slovenia,SVN,2017,5.948,41692.836,68.725
Slovenia,SVN,2018,6.118,43361.094,70.55
Slovenia,SVN,2019,6.3634,44569.586,71.275
Slovenia,SVN,2020,6.461,42463.562,70.05
Slovenia,SVN,2021,6.63,45914.06,71.45
Slovenia,SVN,2022,6.65,47050.066,73.125
Slovenia,SVN,2023,6.743,47977.426,72.5
Slovenia,SVN,2024,6.792,48648.906,73.15
Sweden,SWE,2011,7.379,57340.504,73.25
Sweden,SWE,2012,7.48,56682.02,73.45
Sweden,SWE,2014,7.364,57574.05,74.55
Sweden,SWE,2015,7.291,59468.355,75.2
Sweden,SWE,2016,7.284,59977.387,75.875
Sweden,SWE,2017,7.314,60288.8,76.525
Sweden,SWE,2018,7.343,60647.45,77.0
Sweden,SWE,2019,7.3535,61601.63,76.75
Sweden,SWE,2020,7.363,59975.363,74.95
Sweden,SWE,2021,7.384,62731.7,75.1
Sweden,SWE,2022,7.395,63088.42,76.975
Sweden,SWE,2023,7.344,62662.766,77.4
Sweden,SWE,2024,7.345,62978.938,76.675
Turkey,TUR,2011,5.234,21760.43,48.4
Turkey,TUR,2012,5.345,22517.715,48.9
Turkey,TUR,2014,5.332,24888.852,49.525
Turkey,TUR,2015,5.389,25984.803,50.15
Turkey,TUR,2016,5.5,26489.645,50.65
Turkey,TUR,2017,5.483,28194.688,51.55
Turkey,TUR,2018,5.373,28780.303,51.975
Turkey,TUR,2019,5.1318,28741.053,50.3
Turkey,TUR,2020,4.948,28976.719,47.5
Turkey,TUR,2021,4.744,32105.547,50.25
Turkey,TUR,2022,4.614,33520.812,52.825
Turkey,TUR,2023,4.975,35069.17,53.8
Turkey,TUR,2024,5.262,36154.492,55.15
United States,USA,2011,7.27,60245.484,66.64754
United States,USA,2012,7.082,61134.53,67.13661
United States,USA,2014,7.119,63018.805,68.14875
United States,USA,2015,7.104,64359.473,68.70962
United States,USA,2016,6.993,65017.656,69.35136
United States,USA,2017,6.886,66155.555,70.11017
United States,USA,2018,6.892,67719.766,70.72614
United States,USA,2019,6.9396,69112.6,71.35841
United States,USA,2020,6.951,67342.07,67.06998
United States,USA,2021,6.977,71307.4,69.40365
United States,USA,2022,6.894,72679.26,71.27018
United States,USA,2023,6.725,74158.72,71.95479
United States,USA,2024,6.724,75489.266,71.86034
South Africa,ZAF,2011,5.101,14434.261,41.91941
South Africa,ZAF,2012,4.963,14563.763,42.2082
South Africa,ZAF,2014,4.642,14643.339,42.77369
South Africa,ZAF,2015,4.459,14541.675,43.68032
South Africa,ZAF,2016,4.829,14501.281,43.03369
South Africa,ZAF,2017,4.724,14573.598,43.35536
South Africa,ZAF,2018,4.722,14553.562,43.24669
South Africa,ZAF,2019,4.8141,14352.67,42.46033
South Africa,ZAF,2020,4.956,13250.566,38.53147
South Africa,ZAF,2021,5.194,13681.955,37.03354
South Africa,ZAF,2022,5.275,13767.497,38.61707
South Africa,ZAF,2023,5.422,13695.376,40.42961
